Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
ai 102,8100,LOW,4,138.96,776.73,No,
microsoft ai certification,1900,MEDIUM,63,173.03,618.18,No,
microsoft certified azure ai engineer associate,1900,LOW,20,177.51,678.66,No,
azure ai certification,1600,MEDIUM,51,151.51,544.18,Yes,Bouquet INR - 2
microsoft certified azure ai fundamentals,1600,LOW,15,185.58,677.42,No,
ai 900 certification,1300,MEDIUM,42,120.36,504.74,No,
azure ai fundamentals,1000,MEDIUM,49,190.06,775.48,No,
microsoft azure ai fundamentals certification,1000,LOW,5,206.20,503.84,No,
azure ai fundamentals certification,880,LOW,25,156.32,607.46,No,
microsoft azure ai engineer associate certification,880,LOW,4,178.49,760.24,No,
microsoft azure ai fundamentals,720,MEDIUM,60,210.17,777.28,No,
azure ai engineer associate,720,MEDIUM,41,164.96,709.14,No,
ms azure ai fundamentals,720,MEDIUM,60,210.17,777.28,No,
ai 102 certification,590,MEDIUM,39,137.17,680.45,No,
microsoft ai900,590,LOW,32,148.82,710.04,No,
ai102 certification,590,MEDIUM,39,137.17,680.45,No,
azure ai certification path,480,MEDIUM,39,140.75,501.15,No,
microsoft ai certifications,480,MEDIUM,37,197.23,720.80,No,
azure ai900,480,LOW,29,152.41,716.31,No,
microsoft azure ai certification,390,MEDIUM,49,171.23,597.97,Yes,Bouquet INR - 2
ai 900 exam,390,LOW,9,128.20,627.56,No,
azure artificial intelligence certification,390,LOW,32,160.16,665.02,Yes,Bouquet INR - 2
ai fundamentals certification,390,HIGH,67,274.04,899.20,No,
microsoft ai 900 certification,390,LOW,20,127.30,479.00,No,
azure ai 102,320,LOW,24,176.61,1217.46,No,
azure ai engineer certification,320,MEDIUM,47,176.61,734.24,No,
azure ai engineer associate certification,320,LOW,9,164.83,669.69,No,
ai certification microsoft,260,MEDIUM,65,221.33,762.85,No,
microsoft ai certification path,260,MEDIUM,46,152.73,575.14,No,
microsoft ai fundamentals,260,MEDIUM,49,178.41,641.01,No,
microsoft azure ai engineer associate,260,MEDIUM,45,185.58,759.35,No,
microsoft ai fundamentals certification,210,LOW,33,158.48,581.84,No,
microsoft certified azure ai fundamentals ai 900,210,MEDIUM,36,187.37,714.52,No,
ai 102 exam,170,LOW,16,135.37,597.08,No,
microsoft ai engineer certification,170,MEDIUM,63,201.37,662.52,No,
microsoft ai 102,170,LOW,22,154.20,758.90,No,
azure ai 900 certification,170,LOW,29,136.27,476.05,No,
azure ai course,140,HIGH,72,201.72,571.08,No,
microsoft ai certification free,140,MEDIUM,58,153.65,557.09,No,
azure ai fundamentals ai 900,140,MEDIUM,66,193.65,825.95,No,
azure ai training,110,MEDIUM,60,214.83,780.86,Yes,Bouquet INR - 2
microsoft learn ai 900,110,LOW,23,235.78,1002.30,No,
azure ai 102 certification,110,LOW,30,134.48,493.08,No,
ai azure certification,90,HIGH,67,196.34,704.92,No,
ai 102 azure,90,LOW,23,133.58,729.34,No,
ai microsoft certification,90,HIGH,68,217.85,843.62,No,
ai900 microsoft,90,LOW,25,115.88,568.39,No,
microsoft certification machine learning,90,MEDIUM,53,147.03,803.28,No,
ai 102 course,70,MEDIUM,58,212.71,741.42,No,
ai 900 course,70,HIGH,72,157.79,630.25,No,
ai 900 training,70,MEDIUM,57,188.27,713.62,No,
azure ai 900 practice test,70,LOW,28,131.58,790.72,No,
ai 900 azure ai fundamentals,70,MEDIUM,54,172.13,938.43,No,
microsoft certification ai,70,MEDIUM,65,184.68,772.79,No,
azure ai associate,70,MEDIUM,34,112.96,636.52,No,
microsoft ai 900 course,70,HIGH,68,146.64,557.63,No,
ai 900 certification cost,70,MEDIUM,37,135.01,738.75,No,
azure ai engineer associate ai 102,70,MEDIUM,50,187.37,766.36,No,
microsoft azure ai900,70,MEDIUM,34,199.92,1004.99,No,
microsoft certified azure ai engineer associate ai 102,70,MEDIUM,58,166.75,545.41,No,
ai 900 azure,50,LOW,28,123.72,606.64,No,
microsoft azure ai fundamentals course,50,LOW,11,165.85,502.94,No,
microsoft azure ai engineer,50,MEDIUM,61,136.27,604.25,No,
ai 900 certificate,50,MEDIUM,37,154.20,641.90,No,
microsoft ai 900 exam,50,LOW,20,150.61,624.87,No,
microsoft ai 900 practice exam,50,LOW,14,155.02,344.71,No,
microsoft learn ai fundamentals,50,MEDIUM,57,275.23,855.27,No,
ms learn ai 900,50,LOW,16,304.15,1406.63,No,
microsoft azure virtual training day ai fundamentals,40,LOW,32,194.54,591.70,No,
azure ai learning path,40,MEDIUM,55,216.06,746.79,No,
ai 102 designing and implementing a microsoft azure ai solution,40,LOW,27,148.57,759.49,No,
ai 102 practice test,40,MEDIUM,41,125.51,351.43,No,
ai 900 learning path,40,LOW,30,262.68,1134.98,No,
azure 102,40,LOW,24,109.37,516.20,No,
azure ai fundamentals course,40,MEDIUM,39,145.24,548.67,No,
azure ai exam,40,LOW,22,116.55,341.57,No,
microsoft azure ai fundamentals certification exam,40,LOW,0,,,No,
ai 102 azure ai engineer associate,40,MEDIUM,48,155.99,559.96,No,
ai 102 microsoft,40,LOW,29,115.65,595.28,No,
ai 900 certification exam,40,LOW,28,176.07,629.34,No,
azure ai 900 exam,40,LOW,13,173.78,545.98,No,
microsoft ai 102 certification,40,LOW,28,143.44,692.11,No,
ms ai900,40,LOW,26,158.68,1072.23,No,
azure ai ml certification,30,HIGH,71,271.08,601.56,No,
microsoft ai learning path,30,MEDIUM,62,249.23,792.52,No,
designing and implementing a microsoft azure ai solution,30,MEDIUM,61,155.74,840.03,No,
azure ai fundamentals exam,30,LOW,19,,,No,
microsoft ai ml certification,30,HIGH,80,220.16,856.03,No,
ai 100 certification,30,MEDIUM,47,151.95,591.70,No,
ai 102 training,30,MEDIUM,61,204.40,612.88,No,
microsoft azure ai training,30,HIGH,76,239.37,681.35,No,
microsoft ai azure certification,30,MEDIUM,42,177.51,494.87,No,
microsoft ai exam,30,LOW,29,159.58,563.01,No,
azure ai 900 course,30,MEDIUM,57,233.09,715.00,No,
azure ai fundamentals training,30,MEDIUM,51,273.44,1443.39,No,
microsoft azure ai engineer certification,30,LOW,19,178.64,654.45,No,
microsoft certified ai engineer,30,HIGH,77,206.20,827.48,No,
microsoft certified ai fundamentals,30,LOW,27,196.21,593.49,No,
microsoft azure machine learning certification,20,HIGH,68,189.83,613.09,No,
microsoft ai certification course,20,MEDIUM,65,262.68,703.02,No,
learn azure ai,20,HIGH,79,301.23,946.72,No,
exam ai 900,20,LOW,9,,,No,
microsoft azure ai course,20,HIGH,78,180.35,643.70,No,
azure ai 100,20,LOW,14,,,No,
exam ai 102,20,LOW,14,,,No,
azure ai learning,20,MEDIUM,38,283.14,840.93,No,
ai azure fundamentals,20,MEDIUM,42,141.65,809.68,No,
azure ai 900 practice exam,20,MEDIUM,41,168.54,311.09,No,
ai fundamentals azure,20,MEDIUM,56,178.48,676.87,No,
microsoft certified azure ai engineer,20,MEDIUM,54,235.78,834.59,No,
azure ai fundamentals certification cost,20,LOW,29,137.17,460.81,No,
a1 102,20,LOW,4,,,No,
ai 900 learn,20,LOW,16,166.75,516.39,No,
ai 900 ms learn,20,LOW,6,,,No,
ai engineer azure,20,MEDIUM,38,158.68,978.99,No,
azure ai 102 exam,20,LOW,15,,,No,
microsoft azure ai 900 certification,20,LOW,30,165.85,753.97,No,
microsoft azure ai fundamentals exam,20,LOW,24,110.10,295.06,No,
microsoft certification ai 900,20,LOW,30,156.89,448.26,No,
ms learn ai 102,20,LOW,5,,,No,
machine learning azure certification,10,MEDIUM,57,,,No,
exam ai 900 microsoft azure ai fundamentals,10,LOW,27,119.24,278.82,No,
azure ai fundamentals practice test,10,MEDIUM,41,107.06,659.83,No,
ai fundamentals exam,10,MEDIUM,35,180.20,483.22,No,
azure certification machine learning,10,MEDIUM,33,,,No,
microsoft azure ai fundamentals free training,10,UNSPECIFIED,0,,,No,
azure certification ai,10,MEDIUM,37,145.24,743.21,No,
azure data & ai,10,UNSPECIFIED,0,,,No,
microsoft ai fundamentals exam,10,LOW,19,,,No,
ai 100 azure,10,MEDIUM,33,,,No,
microsoft data and ai certification,10,MEDIUM,57,,,No,
microsoft ai azure fundamentals,10,HIGH,71,131.79,594.39,No,
microsoft azure ai 102,10,MEDIUM,35,,,No,
azure cognitive services certification,10,UNSPECIFIED,0,,,No,
ai 900 microsoft azure,10,LOW,29,,,No,
azure data and ai certification,10,MEDIUM,66,346.95,952.99,No,
machine learning certification azure,10,MEDIUM,57,195.44,467.77,No,
ai 100 exam,10,LOW,29,,,No,
ai 102 ai engineer,10,MEDIUM,57,,,No,
ai 102 learn,10,LOW,0,,,No,
ai 102 microsoft certification,10,LOW,23,,,No,
ai 102 ms learn,10,LOW,4,,,No,
ai 102 udemy,10,LOW,14,,,No,
ai 102t00,10,MEDIUM,54,129.91,907.27,No,
ai 104 azure,10,LOW,19,,,No,
ai 900 free voucher,10,LOW,0,,,No,
ai 900 microsoft azure ai fundamentals exam,10,MEDIUM,55,239.37,678.66,No,
ai 900 microsoft azure ai fundamentals microsoft official practice test,10,UNSPECIFIED,0,,,No,
ai 900 microsoft certification,10,MEDIUM,34,,,No,
ai 900 microsoft learning path,10,LOW,0,,,No,
ai 900 practice test udemy,10,LOW,14,,,No,
ai engineer using microsoft azure,10,HIGH,100,,,No,
ai fundamentals exam microsoft,10,UNSPECIFIED,0,,,No,
artificial intelligence ai certification by microsoft,10,UNSPECIFIED,0,,,No,
azure 102 certification,10,LOW,26,109.37,332.74,No,
azure ai 100 certification,10,LOW,5,,,No,
azure ai certification exam,10,LOW,21,,,No,
azure ai engineer associate exam,10,LOW,5,,,No,
azure ai engineer exam,10,LOW,5,,,No,
azure ai fundamentals ai 900 practice test,10,HIGH,86,,,No,
azure ai fundamentals free voucher,10,LOW,29,,,No,
azure ai fundamentals learning path,10,MEDIUM,50,,,No,
azure ai fundamentals virtual training day,10,MEDIUM,33,,,No,
azure data ai certification,10,UNSPECIFIED,0,,,No,
azure fundamentals ai,10,MEDIUM,44,190.06,1061.23,No,
azure virtual training day ai fundamentals,10,LOW,0,,,No,
microsoft ai 100,10,LOW,14,,,No,
microsoft ai 102 exam,10,LOW,20,180.20,764.73,No,
microsoft ai 900 fundamentals,10,LOW,11,,,No,
microsoft ai 900 learning path,10,LOW,27,145.10,506.83,No,
microsoft ai free certification,10,MEDIUM,42,179.30,398.05,No,
microsoft azure ai 102 certification,10,LOW,22,183.79,381.02,No,
microsoft azure ai engineer ai 100,10,HIGH,86,,,No,
microsoft azure ai engineer associate certification cost,10,MEDIUM,36,,,No,
microsoft azure ai exam,10,LOW,13,,,No,
microsoft azure ai fundamentals ai 900 exam,10,MEDIUM,44,163.17,503.84,No,
microsoft azure ai fundamentals certification exam ai 900,10,UNSPECIFIED,0,,,No,
microsoft azure ai fundamentals get started with artificial intelligence,10,UNSPECIFIED,0,,,No,
microsoft azure ai fundamentals practice test,10,LOW,25,,,No,
microsoft azure ai fundamentals training,10,MEDIUM,34,,,No,
microsoft azure virtual training ai fundamentals,10,HIGH,86,,,No,
microsoft certification for machine learning,10,UNSPECIFIED,0,,,No,
microsoft exam ai 900,10,MEDIUM,50,,,No,
microsoft virtual training day ai fundamentals,10,UNSPECIFIED,0,,,No,
whizlabs ai 900,10,LOW,32,8.99,303.02,No,
microsoft ai 102 training,10,MEDIUM,52,,,No,
