Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
ai 900,3600,LOW,18,129.10,795.21,No,
microsoft ai certification,1900,MEDIUM,63,173.03,618.18,No,
azure ai certification,1600,MEDIUM,51,151.51,544.18,Yes,Bouquet INR - 2
microsoft certified azure ai fundamentals,1600,LOW,15,185.58,677.42,No,
ai 900 certification,1300,MEDIUM,42,120.36,504.74,No,
azure ai fundamentals,1000,MEDIUM,49,190.06,775.48,No,
microsoft azure ai fundamentals certification,1000,LOW,5,206.20,503.84,No,
ai fundamentals,1000,MEDIUM,60,258.15,800.59,No,
artificial intelligence fundamentals,1000,MEDIUM,60,258.15,800.59,No,
azure ai fundamentals certification,880,LOW,25,156.32,607.46,No,
microsoft ai course,720,HIGH,73,210.82,714.52,No,
microsoft azure ai fundamentals,720,MEDIUM,60,210.17,777.28,No,
ms azure ai fundamentals,720,MEDIUM,60,210.17,777.28,No,
microsoft ai 900,590,LOW,32,148.82,710.04,No,
ai 102 certification,590,MEDIUM,39,137.17,680.45,No,
azure ai 900,480,LOW,29,152.41,716.31,No,
azure ai certification path,480,MEDIUM,39,140.75,501.15,No,
microsoft ai certifications,480,MEDIUM,37,197.23,720.80,No,
ai fundamentals course,390,LOW,30,365.65,891.34,No,
ai 900 exam,390,LOW,9,128.20,627.56,No,
microsoft azure ai certification,390,MEDIUM,49,171.23,597.97,Yes,Bouquet INR - 2
azure artificial intelligence certification,390,LOW,32,160.16,665.02,Yes,Bouquet INR - 2
ai fundamentals certification,390,HIGH,67,274.04,899.20,No,
microsoft ai 900 certification,390,LOW,20,127.30,479.00,No,
azure ai 102,320,LOW,24,176.61,1217.46,No,
azure ai engineer certification,320,MEDIUM,47,176.61,734.24,No,
ai certification microsoft,260,MEDIUM,65,221.33,762.85,No,
microsoft ai certification path,260,MEDIUM,46,152.73,575.14,No,
microsoft ai fundamentals,260,MEDIUM,49,178.41,641.01,No,
microsoft ai fundamentals certification,210,LOW,33,158.48,581.84,No,
microsoft azure ai fundamentals ai 900,210,MEDIUM,64,192.48,769.88,No,
microsoft certified azure ai fundamentals ai 900,210,MEDIUM,36,187.37,714.52,No,
ai 900 microsoft azure ai fundamentals,170,MEDIUM,49,170.34,671.76,No,
microsoft ai learning,170,MEDIUM,51,207.09,711.83,No,
microsoft ai engineer certification,170,MEDIUM,63,201.37,662.52,No,
azure ai 900 certification,170,LOW,29,136.27,476.05,No,
azure ai course,140,HIGH,72,201.72,571.08,No,
microsoft ai certification free,140,MEDIUM,58,153.65,557.09,No,
azure ai fundamentals ai 900,140,MEDIUM,66,193.65,825.95,No,
azure ai training,110,MEDIUM,60,214.83,780.86,Yes,Bouquet INR - 2
microsoft learn ai 900,110,LOW,23,235.78,1002.30,No,
ai azure certification,90,HIGH,67,196.34,704.92,No,
ai microsoft certification,90,HIGH,68,217.85,843.62,No,
ai 900 microsoft,90,LOW,25,115.88,568.39,No,
ai 900 microsoft learn,90,LOW,17,228.61,952.10,No,
microsoft certification machine learning,90,MEDIUM,53,147.03,803.28,No,
microsoft azure ai 900,70,MEDIUM,34,199.92,1004.99,No,
ai 900 course,70,HIGH,72,157.79,630.25,No,
ai 102 course,70,MEDIUM,58,212.71,741.42,No,
ai 900 training,70,MEDIUM,57,188.27,713.62,No,
azure ai 900 practice test,70,LOW,28,131.58,790.72,No,
ai 900 azure ai fundamentals,70,MEDIUM,54,172.13,938.43,No,
microsoft certification ai,70,MEDIUM,65,184.68,772.79,No,
microsoft ai 900 course,70,HIGH,68,146.64,557.63,No,
ai 900 certification cost,70,MEDIUM,37,135.01,738.75,No,
microsoft ai fundamentals ai 900,70,MEDIUM,53,194.54,758.45,No,
ai 900 azure,50,LOW,28,123.72,606.64,No,
microsoft azure ai fundamentals course,50,LOW,11,165.85,502.94,No,
ai 900 certificate,50,MEDIUM,37,154.20,641.90,No,
microsoft ai 900 exam,50,LOW,20,150.61,624.87,No,
microsoft ai 900 practice exam,50,LOW,14,155.02,344.71,No,
microsoft learn ai fundamentals,50,MEDIUM,57,275.23,855.27,No,
ms learn ai 900,50,LOW,16,304.15,1406.63,No,
microsoft azure virtual training day ai fundamentals,40,LOW,32,194.54,591.70,No,
azure ai learning path,40,MEDIUM,55,216.06,746.79,No,
ai 900 learning path,40,LOW,30,262.68,1134.98,No,
azure ai fundamentals course,40,MEDIUM,39,145.24,548.67,No,
azure ai exam,40,LOW,22,116.55,341.57,No,
microsoft azure ai fundamentals certification exam,40,LOW,0,,,No,
ai 900 certification exam,40,LOW,28,176.07,629.34,No,
azure ai 900 exam,40,LOW,13,173.78,545.98,No,
ms ai 900,40,LOW,26,158.68,1072.23,No,
azure ai fundamentals training,30,MEDIUM,51,273.44,1443.39,No,
azure ai ml certification,30,HIGH,71,271.08,601.56,No,
microsoft ai learning path,30,MEDIUM,62,249.23,792.52,No,
ai course microsoft,30,HIGH,70,211.80,852.58,No,
azure ai fundamentals exam,30,LOW,19,,,No,
microsoft ai ml certification,30,HIGH,80,220.16,856.03,No,
ai 100 certification,30,MEDIUM,47,151.95,591.70,No,
ai 102 training,30,MEDIUM,61,204.40,612.88,No,
microsoft azure ai training,30,HIGH,76,239.37,681.35,No,
ai 900 fundamentals,30,LOW,26,174.82,678.39,No,
microsoft ai azure certification,30,MEDIUM,42,177.51,494.87,No,
microsoft ai exam,30,LOW,29,159.58,563.01,No,
ai 102 learning path,30,MEDIUM,42,287.78,1076.11,No,
