Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
itil,18100,MEDIUM,34,214.27,658.94,No,
itil certification,14800,MEDIUM,58,159.58,522.65,No,
information technology infrastructure library certification,14800,MEDIUM,58,159.58,522.65,No,
itil foundation certification,4400,MEDIUM,49,182.89,632.94,No,
itil 4 foundation certification,2900,LOW,17,213.37,742.31,No,
itil 4,2400,MEDIUM,53,230.40,823.00,No,
itil foundation,2400,MEDIUM,53,173.03,721.50,No,
itil framework,2400,LOW,27,188.99,1120.64,No,
itil 4 certification,1900,MEDIUM,60,208.89,676.87,Yes,Bouquet INR - 2
itil 4 foundation,1600,MEDIUM,63,225.02,990.84,No,
itil v4,1600,MEDIUM,55,243.63,798.79,No,
itil certification cost,1600,MEDIUM,58,129.99,458.12,Yes,Bouquet INR - 2
itil course,1600,MEDIUM,48,327.23,1214.77,No,
itil change management,1600,MEDIUM,37,432.12,1441.54,No,
itil training course,1600,MEDIUM,48,327.23,1214.77,No,
itil 4 foundation certification training,1600,LOW,1,630.25,1493.97,No,
itil classes,1600,MEDIUM,48,327.23,1214.77,No,
itil and change management,1600,MEDIUM,37,432.12,1441.54,No,
itil certification fees,1600,MEDIUM,58,129.99,458.12,No,
itil cert cost,1600,MEDIUM,58,129.99,458.12,No,
itsm change,1600,MEDIUM,37,432.12,1441.54,No,
itil processes,1300,LOW,25,214.27,896.51,No,
itil foundation certification training,1300,LOW,1,429.43,716.76,No,
itil procedures,1300,LOW,25,214.27,896.51,No,
itil incident management,1000,MEDIUM,41,424.70,1399.46,No,
itil incident,1000,MEDIUM,41,424.70,1399.46,No,
itil v4 certification,880,HIGH,68,198.06,642.80,No,
itil service management,880,LOW,14,459.01,1587.03,No,
service manager itil,880,LOW,14,459.01,1587.03,No,
itil certification v4,880,HIGH,68,198.06,642.80,No,
itil v3,720,LOW,29,149.48,712.73,No,
itil foundation exam,590,MEDIUM,49,188.27,753.07,No,
itil 4 foundation exam,590,LOW,15,284.19,1108.09,No,
itil certification exam,590,MEDIUM,49,188.27,753.07,No,
