Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
power bi,368000,LOW,12,172.15,859.84,No,
powerbi,368000,LOW,12,172.15,859.84,No,
power business intelligence,368000,LOW,12,172.15,859.84,No,
and power bi,368000,LOW,12,172.15,859.84,No,
powerbilogin,27100,LOW,0,211.62,1363.73,No,
power bi what is,18100,LOW,25,45.73,428.57,No,
microsoft power bi,14800,LOW,20,214.45,1684.71,No,
microsoft powerbi,14800,LOW,20,214.45,1684.71,No,
microsoft power business intelligence,14800,LOW,20,214.45,1684.71,No,
power bi certification,9900,HIGH,71,184.06,702.04,Yes,Bouquet INR - 2
power bi training,9900,HIGH,71,206.09,729.43,Yes,Bouquet INR - 2
power bi dashboard,9900,LOW,23,195.46,740.59,No,
power bi classes,9900,HIGH,71,206.09,729.43,No,
bi it,9900,LOW,17,247.97,1035.57,No,
pl 300,4400,MEDIUM,34,211.60,580.10,No,
power bi service,4400,LOW,22,527.20,5952.53,No,
powerbiservice,4400,LOW,22,527.20,5952.53,No,
power bi course,3600,HIGH,67,208.79,717.28,Yes,Bouquet INR - 2
course on power bi,3600,HIGH,67,208.79,717.28,Yes,Bouquet INR - 2
power bi for macbook,3600,LOW,20,443.82,1784.23,No,
power bi professional,3600,LOW,6,248.36,1205.03,No,
courses for power bi,3600,HIGH,67,208.79,717.28,No,
microsoft bi,2900,MEDIUM,39,273.69,1843.95,No,
microsoft business intelligence,2900,MEDIUM,39,273.69,1843.95,No,
power bi application,2900,LOW,6,223.25,1018.95,No,
powerbiapp,2900,LOW,6,223.25,1018.95,No,
microsoft power bi certification,2400,MEDIUM,53,212.69,736.74,Yes,Bouquet INR - 2
bi dashboard,2400,LOW,32,410.64,1213.59,No,
learn power bi,1900,HIGH,74,190.38,623.14,No,
bi reporting,1900,LOW,28,722.16,1722.37,No,
power bi pricing,1900,LOW,12,298.57,964.74,No,
power bi reporting,1900,LOW,19,220.93,739.70,No,
power bi consulting,1600,MEDIUM,48,1522.62,10544.02,No,
microsoft power bi training,1600,MEDIUM,36,232.22,695.76,Yes,Bouquet INR - 2
microsoft certified power bi data analyst associate,1600,LOW,31,212.75,761.21,No,
microsoft power bi course,1600,MEDIUM,36,232.22,695.76,Yes,Bouquet INR - 2
power bi com,1600,LOW,8,229.53,756.81,No,
pl 300 certification,1600,MEDIUM,57,174.84,598.83,No,
pl300 certification,1600,MEDIUM,57,174.84,598.83,No,
microsoft power bi classes,1600,MEDIUM,36,232.22,695.76,No,
power bi cost,1300,LOW,14,297.67,1040.95,No,
bi tableau,1300,LOW,6,137.90,1014.05,No,
bi services,1300,LOW,12,985.36,2319.50,No,
microsoft power,1000,LOW,10,180.22,715.49,Yes,Bouquet INR - 2
bi consulting,1000,LOW,19,887.63,2056.80,No,
pl 300 exam,1000,MEDIUM,47,197.25,541.66,No,
powerbi microsoft,1000,LOW,20,216.98,813.22,No,
pl300 exam,1000,MEDIUM,47,197.25,541.66,No,
microsoft data analyst certification,880,MEDIUM,65,221.46,843.35,No,
ms power bi,880,LOW,24,218.77,999.71,No,
power bi training courses,880,MEDIUM,37,276.15,986.54,Yes,Bouquet INR - 2
power bi web,880,LOW,22,251.05,953.70,No,
excel power bi,880,LOW,22,180.22,578.65,No,
power bi training classes,880,MEDIUM,37,276.15,986.54,No,
microsoft learn power bi,880,LOW,27,250.15,645.78,No,
best bi tool,880,MEDIUM,53,539.75,2007.49,No,
