Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
microsoft copilot studio,14800,LOW,7,262.70,1019.33,No,
copilot visual studio code,390,LOW,30,211.58,581.18,No,
microsoft copilot studio training,90,MEDIUM,53,175.42,549.35,No,
copilot for visual studio code,70,MEDIUM,51,214.27,599.77,No,
copilot in visual studio code,50,MEDIUM,34,161.37,486.63,No,
github copilot azure devops,40,LOW,11,,,No,
pl 7008,40,LOW,17,195.44,723.49,No,
github copilot in visual studio code,30,LOW,14,204.40,1723.99,No,
copilot on visual studio,20,LOW,25,,,No,
github copilot on visual studio,20,LOW,11,,,No,
7008 whitmore pl,10,UNSPECIFIED,0,,,No,
github copilot install visual studio,10,LOW,0,,,No,
github copilot visual studio for mac,10,LOW,0,,,No,
visual studio code codex,10,LOW,22,215.16,1723.99,No,
