Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
jira,246000,MEDIUM,41,190.96,2295.07,No,
pmp certification,165000,MEDIUM,44,157.79,632.04,No,
project management professional certification,165000,MEDIUM,44,157.79,632.04,No,
pmp license,165000,MEDIUM,44,157.79,632.04,No,
pmp credential,165000,MEDIUM,44,157.79,632.04,No,
project management institute,135000,LOW,31,40.34,392.67,No,
pmis,135000,LOW,31,40.34,392.67,No,
project management software,74000,LOW,18,661.63,5570.03,No,
project tracking software,74000,LOW,18,661.63,5570.03,No,
pmo software,74000,LOW,18,661.63,5570.03,No,
pmp,60500,MEDIUM,45,122.24,580.29,No,
project management certification,60500,HIGH,83,394.47,1363.60,No,
pmo,60500,LOW,3,271.16,3775.21,No,
certified project manager certification,60500,HIGH,83,394.47,1363.60,No,
project management cert,60500,HIGH,83,394.47,1363.60,No,
project management certification pmp,60500,HIGH,83,394.47,1363.60,No,
program management professional,60500,MEDIUM,45,122.24,580.29,No,
project mgmt certification,60500,HIGH,83,394.47,1363.60,No,
project management,49500,MEDIUM,35,371.16,2538.76,No,
microsoft project,49500,HIGH,81,369.36,3613.84,No,
ms project,49500,HIGH,81,369.36,3613.84,No,
capm,22200,LOW,31,69.93,467.98,No,
task management software,18100,LOW,22,805.07,4808.70,No,
capm certification,18100,HIGH,71,93.24,639.21,No,
google project management certificate,14800,MEDIUM,40,318.26,1371.66,No,
pmp certification cost,12100,HIGH,77,148.53,553.15,No,
agile project management,12100,LOW,33,199.03,1075.81,No,
pmp course cost,12100,HIGH,77,148.53,553.15,No,
pmp training cost,12100,HIGH,77,148.53,553.15,No,
pmp certification training,9900,LOW,15,477.84,1801.09,No,
project management professional pmp certification training,9900,LOW,15,477.84,1801.09,No,
project management course,9900,MEDIUM,51,460.43,1594.76,No,
construction management software,9900,LOW,22,1569.79,6667.91,No,
asana project management,9900,LOW,26,273.44,2654.57,No,
project planner,9900,MEDIUM,66,336.25,1441.59,No,
certified associate in project management,9900,MEDIUM,49,146.13,678.46,No,
pmp certification classes,9900,LOW,15,477.84,1801.09,No,
project coordinator,9900,LOW,7,11.65,730.66,No,
pmp training and certification,9900,LOW,15,477.84,1801.09,No,
capm project management,9900,MEDIUM,49,146.13,678.46,No,
pmp exam training,9900,LOW,15,477.84,1801.09,No,
capm certified associate in project management,9900,MEDIUM,49,146.13,678.46,No,
pmi capm certification,9900,MEDIUM,49,146.13,678.46,No,
jira software,8100,MEDIUM,38,112.06,1923.15,No,
construction software,8100,LOW,32,702.87,2607.95,No,
pmp exam,8100,MEDIUM,53,125.51,485.91,No,
pmbok,8100,MEDIUM,44,59.17,496.67,No,
pmp test,8100,MEDIUM,53,125.51,485.91,No,
best project management software,6600,MEDIUM,49,725.28,6474.61,No,
asana pricing,6600,MEDIUM,66,444.47,2000.12,No,
project management certification online,6600,MEDIUM,51,565.70,1896.12,No,
jira project management,6600,LOW,23,472.33,2669.06,No,
construction project management,6600,MEDIUM,35,374.74,1795.71,No,
primavera p6,6600,MEDIUM,46,181.10,1419.18,No,
trello project management,6600,LOW,21,167.79,3505.36,No,
asana cost,6600,MEDIUM,66,444.47,2000.12,No,
zoho projects,6600,MEDIUM,39,101.12,5002.54,No,
pmp prep course,6600,LOW,15,378.33,1793.02,No,
project management degrees,6600,MEDIUM,61,823.89,2803.39,No,
program management,6600,LOW,28,269.95,1167.89,No,
pmp exam prep course,6600,LOW,15,378.33,1793.02,No,
pmp prep classes,6600,LOW,15,378.33,1793.02,No,
pmp certification prep course,6600,LOW,15,378.33,1793.02,No,
pmp exam prep class,6600,LOW,15,378.33,1793.02,No,
clickup pricing,5400,MEDIUM,61,164.06,1205.81,No,
jira pricing,5400,MEDIUM,51,201.36,1184.29,No,
project tracker,5400,MEDIUM,62,613.96,2765.74,No,
pmp certification course,5400,LOW,20,456.99,1773.30,No,
project management tracker,5400,MEDIUM,62,613.96,2765.74,No,
jira software pricing,5400,MEDIUM,51,201.36,1184.29,No,
ms project software,5400,HIGH,84,363.98,3804.80,No,
jira cost,5400,MEDIUM,51,201.36,1184.29,No,
project management institute certification,5400,LOW,13,105.33,785.34,No,
microsoft project software,5400,HIGH,84,363.98,3804.80,No,
pmp course and certification,5400,LOW,20,456.99,1773.30,No,
assistant project manager,5400,LOW,7,5.40,727.92,No,
master in project manager,5400,MEDIUM,62,1014.85,3586.05,No,
project manager training,4400,MEDIUM,46,409.71,1316.98,No,
microsoft project management,4400,HIGH,67,315.57,3592.33,No,
trello pricing,4400,MEDIUM,56,49.31,2256.52,No,
project management professional,4400,HIGH,68,179.30,887.55,No,
