Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
vmware,90500,LOW,11,264.50,773.77,No,
vmware machine,60500,LOW,14,269.88,2464.12,No,
v8,33100,HIGH,69,17.93,65.13,No,
vmware fusion,18100,LOW,20,135.39,549.62,No,
vmware workstation,18100,LOW,11,279.00,758.52,No,
vm fusion,18100,LOW,20,135.39,549.62,No,
vmware horizon client,9900,LOW,9,152.42,823.08,No,
vm horizon client,9900,LOW,9,152.42,823.08,No,
vmhorizon client,9900,LOW,9,152.42,823.08,No,
vmware horizon,8100,LOW,7,283.33,864.32,No,
vmware workstation pro,8100,LOW,6,179.32,692.18,No,
vmware esxi,8100,LOW,7,259.12,963.85,No,
esx,8100,LOW,7,259.12,963.85,No,
vmware horizon view,8100,LOW,7,283.33,864.32,No,
esxi,6600,LOW,2,289.60,1013.16,No,
vsphere,5400,LOW,6,266.29,1035.81,No,
vmware workstation player,5400,LOW,10,169.46,563.06,No,
f150 5.0,5400,HIGH,100,68.14,326.36,No,
vm workstation player,5400,LOW,10,169.46,563.06,No,
6.2 l v8,5400,LOW,10,53.56,309.33,No,
ecotec3 5.3 l v8,4400,LOW,13,53.80,627.62,No,
ford flathead v8,4400,LOW,10,17.18,382.85,No,
linux vm software,4400,LOW,17,200.84,763.01,No,
5.3 l ecotec3 v8,4400,LOW,13,53.80,627.62,No,
vmware player,3600,LOW,3,136.28,630.31,No,
workspaceone,3600,LOW,27,706.52,3174.86,No,
vcenter,3600,LOW,3,321.44,1604.03,No,
ford 7.3 godzilla,3600,HIGH,100,2.69,225.94,No,
audi v8,3600,HIGH,97,67.25,256.43,No,
vm player,3600,LOW,3,136.28,630.31,No,
vmware data recovery,3600,MEDIUM,43,2689.80,8176.99,No,
vmware esxi hypervisor,3600,LOW,0,255.79,717.28,No,
5.7 hemi hp,3600,LOW,6,2.69,277.13,No,
vmw,2900,HIGH,82,164.37,479.68,No,
vmware tools,2900,LOW,3,237.60,1082.53,No,
vmware what is it,2900,LOW,2,100.42,537.96,No,
vm tools,2900,LOW,3,237.60,1082.53,No,
vmware what is,2900,LOW,2,100.42,537.96,No,
vmware vsphere,2400,LOW,9,309.33,1045.44,No,
vmware virtual machine,2400,LOW,13,257.32,814.11,No,
vmware fusion for mac,2400,LOW,14,152.42,588.50,No,
mercedes v8 biturbo,2400,HIGH,100,43.04,182.91,No,
vmware fusion pro,2400,LOW,19,160.49,574.72,No,
vmware vm,2400,LOW,13,257.32,814.11,No,
virtualization servers,2400,MEDIUM,37,581.89,3477.01,No,
honda v8,2400,HIGH,85,54.63,363.12,No,
1uz,2400,LOW,15,,,No,
horizon client,1900,LOW,2,251.05,1101.02,No,
cadillac cts v 6.2 v8 supercharged,1900,HIGH,100,23.64,173.94,No,
hemi v8,1900,MEDIUM,35,43.93,137.17,No,
vmware certifications,1600,LOW,25,152.42,852.67,No,
5.7 liter hemi,1600,HIGH,74,45.73,226.84,No,
chevy v8,1600,HIGH,77,50.21,294.98,No,
lt5,1600,LOW,6,,,No,
5.3 l v8,1600,MEDIUM,45,63.66,320.98,No,
lego v8,1600,HIGH,96,16.89,75.31,No,
vmware for mac,1300,LOW,22,207.79,726.25,No,
workspace one intelligent hub,1300,LOW,14,338.91,1503.60,No,
vmware nsx,1300,LOW,9,359.23,1699.06,No,
horizon 7,1300,HIGH,100,108.49,1026.61,No,
volvo v8,1300,HIGH,97,37.63,426.78,No,
ford v8,1300,HIGH,81,78.00,244.61,No,
ford flathead v8 for sale,1300,LOW,30,4.48,141.66,No,
6.2 hemi,1300,LOW,31,9.86,87.58,No,
triton v8,1300,LOW,18,54.69,351.47,No,
5.7 l v8,1300,LOW,21,53.80,151.53,No,
5.7 liter v8,1300,LOW,21,53.80,151.53,No,
google cloud virtual machine,1000,MEDIUM,34,749.56,5167.78,No,
vsphere client,1000,LOW,15,346.09,1083.09,No,
vsan,1000,LOW,8,431.26,1976.11,No,
rancher kubernetes,1000,MEDIUM,38,285.80,1130.61,No,
vm horizon,1000,LOW,5,346.09,1046.33,No,
roof helmet,1000,HIGH,100,43.07,143.42,No,
range rover v8,1000,HIGH,100,33.05,309.33,No,
vmware fusion player,1000,LOW,20,56.49,450.09,No,
5.4 triton v8,1000,MEDIUM,35,63.66,221.46,No,
5.7 v8 hemi,1000,HIGH,72,59.18,174.84,No,
ford taurus sho v8,1000,HIGH,93,31.38,180.22,No,
4.7 v8 toyota,1000,HIGH,93,48.81,470.71,No,
mercedes biturbo,880,HIGH,100,60.97,214.29,No,
nsx t,880,LOW,28,271.65,1775.27,No,
chrysler v8,880,HIGH,95,20.62,119.25,No,
vmware macbook,880,LOW,13,197.25,731.84,No,
vmotion,880,LOW,1,537.96,2506.89,No,
5.3 v8,880,LOW,31,77.11,576.85,No,
vn fusion,880,LOW,4,47.52,130.90,No,
ls v8,880,LOW,31,26.90,60.07,No,
cummins v8,880,LOW,7,81.59,166.77,No,
audi 4.2 v8,880,HIGH,91,36.76,319.48,No,
6.2 liter,880,LOW,6,6.28,268.08,No,
7.3 godzilla horsepower,880,LOW,1,,,No,
vmware cloud,720,MEDIUM,42,1255.24,7937.63,No,
vmware backup,720,MEDIUM,38,519.13,2689.80,No,
vmware pro,720,LOW,10,273.46,733.42,No,
vmware vdi,720,LOW,15,278.84,1128.82,No,
esxi server,720,LOW,31,257.32,870.62,No,
vmware pricing,720,MEDIUM,49,314.71,1344.90,No,
cloudfoundation,720,LOW,7,260.91,844.60,No,
vmware vcenter,720,LOW,10,291.39,1100.24,No,
vmware cloud computing,720,MEDIUM,42,1255.24,7937.63,Yes,Bouquet INR - 2
amg v8 biturbo,720,HIGH,100,15.44,193.67,No,
vm ware pro,720,LOW,10,273.46,733.42,No,
mini v8,720,HIGH,92,8.97,41.24,No,
